TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Category,CustomerAge_Category,TransactionDuration_Category,LoginAttempts_Category,AccountBalance_Category,Cluster
TX000001,AC00128,0.007207441957422414,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,0.8387096774193548,Doctor,0.24482758620689654,0.0,0.33683185966818,2024-11-04 08:08:08,Low,Senior,Medium,,Medium,2
TX000002,AC00455,0.1959402767282487,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,0.8064516129032258,Doctor,0.45172413793103444,0.0,0.9180546275595326,2024-11-04 08:09:35,High,Senior,Medium,,High,1
TX000003,AC00019,0.0656799645621075,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,0.016129032258064557,Student,0.1586206896551724,0.0,0.06863734931174438,2024-11-04 08:07:04,Medium,,Short,,Low,0
TX000004,AC00070,0.0960158428225239,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,0.12903225806451613,Student,0.05172413793103449,0.0,0.569197956003802,2024-11-04 08:09:06,Medium,Young,Short,,High,1
TX000005,AC00411,0.006873908851655939,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,0.12903225806451613,Student,0.6482758620689656,0.0,0.4925911187531677,2024-11-04 08:06:39,Low,Young,Long,,High,1
TX000006,AC00393,0.04788805795137713,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,0.0,Student,0.5586206896551724,0.0,0.045737843102722775,2024-11-04 08:06:36,Low,,Long,,Low,0
TX000007,AC00199,0.003554212158323996,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,0.30645161290322587,Doctor,0.44482758620689655,0.0,0.8883303734554748,2024-11-04 08:10:09,Low,Young,Medium,,High,1
TX000008,AC00069,0.08919925997342157,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,0.7903225806451613,Retired,0.9689655172413792,0.0,0.18115460779713835,2024-11-04 08:10:55,Medium,Adult,Long,,Medium,2
TX000009,AC00135,0.05522578627823957,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,0.532258064516129,Engineer,0.26206896551724135,0.0,0.6045605421617909,2024-11-04 08:11:14,Medium,Adult,Medium,,High,1
TX000010,AC00385,0.4250983662089272,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,0.5967741935483871,Doctor,0.3793103448275862,0.0,0.06188385358620237,2024-11-04 08:06:32,High,Adult,Medium,,Low,2
TX000011,AC00150,0.009130468770357246,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,0.5483870967741935,Engineer,0.16896551724137931,0.0,0.5040264197666963,2024-11-04 08:06:45,Low,Adult,Short,,High,1
TX000012,AC00459,0.09889256585975975,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,0.04838709677419356,Student,0.5620689655172414,0.0,0.09595919536134934,2024-11-04 08:07:12,Medium,,Long,,Low,0
TX000013,AC00392,0.2575813638377153,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,0.09677419354838712,Student,0.3482758620689655,0.0,0.10209024288923516,2024-11-04 08:08:38,High,,Medium,,Low,0
TX000014,AC00264,0.40727519086953123,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,0.12903225806451613,Student,0.3896551724137931,0.0,0.005944850820811549,2024-11-04 08:07:06,High,Young,Medium,,Low,0
TX000015,AC00085,0.08689058550694426,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,0.0,Student,0.4275862068965517,0.0,0.013355076448200345,2024-11-04 08:10:09,Medium,,Medium,,Low,0
